01/07/2024 13.30.05	3802674605.11	4985205.00	1	35.43	
01/07/2024 13.30.09	3802674609.21	4985205.00	1	37.21	
01/07/2024 13.30.13	3802674613.31	4985205.00	1	37.05	
01/07/2024 13.30.17	3802674617.41	4985210.00	1	39.79	
01/07/2024 13.30.21	3802674621.51	4985205.00	1	37.69	
01/07/2024 13.30.25	3802674625.58	4985205.00	1	37.05	
01/07/2024 13.30.29	3802674629.66	4985205.00	1	42.84	
01/07/2024 13.30.33	3802674633.76	4985205.00	1	38.98	
01/07/2024 13.30.37	3802674637.86	4985205.00	1	38.34	
01/07/2024 13.30.41	3802674641.96	4985205.00	1	40.11	
01/07/2024 13.30.46	3802674646.06	4985205.00	1	40.27	
01/07/2024 13.30.50	3802674650.16	4985205.00	1	38.98	
01/07/2024 13.30.54	3802674654.21	4985210.00	1	39.95	
01/07/2024 13.30.58	3802674658.31	4985205.00	1	40.91	
01/07/2024 13.31.02	3802674662.41	4985205.00	1	40.11	
01/07/2024 13.31.06	3802674666.51	4985205.00	1	41.56	
01/07/2024 13.31.10	3802674670.61	4985200.00	1	40.75	
01/07/2024 13.31.14	3802674674.71	4985205.00	1	42.68	
01/07/2024 13.31.18	3802674678.81	4985205.00	1	42.04	
01/07/2024 13.31.22	3802674682.91	4985205.00	1	43.00	
01/07/2024 13.31.27	3802674687.01	4985210.00	1	43.65	
01/07/2024 13.31.31	3802674691.11	4985210.00	1	42.20	
01/07/2024 13.31.35	3802674695.21	4985200.00	1	43.65	
01/07/2024 13.31.39	3802674699.31	4985205.00	1	44.13	
01/07/2024 13.31.43	3802674703.41	4985205.00	1	43.17	
01/07/2024 13.31.47	3802674707.51	4985205.00	1	45.89	
01/07/2024 13.31.51	3802674711.61	4985205.00	1	44.45	
01/07/2024 13.31.55	3802674715.71	4985205.00	1	43.33	
01/07/2024 13.31.59	3802674719.81	4985205.00	1	44.61	
01/07/2024 13.32.03	3802674723.91	4985205.00	1	46.69	
01/07/2024 13.32.08	3802674728.01	4985205.00	1	45.89	
01/07/2024 13.32.12	3802674732.11	4985205.00	1	45.89	
01/07/2024 13.32.16	3802674736.21	4985205.00	1	46.69	
01/07/2024 13.32.20	3802674740.31	4985200.00	1	46.21	
01/07/2024 13.32.24	3802674744.41	4985205.00	1	45.73	
01/07/2024 13.32.28	3802674748.51	4985205.00	1	47.66	
01/07/2024 13.32.32	3802674752.61	4985205.00	1	47.50	
01/07/2024 13.32.36	3802674756.71	4985205.00	1	47.82	
01/07/2024 13.32.40	3802674760.81	4985205.00	1	47.18	
01/07/2024 13.32.44	3802674764.91	4985205.00	1	49.10	
01/07/2024 13.32.49	3802674769.01	4985205.00	1	47.50	
01/07/2024 13.32.53	3802674773.11	4985205.00	1	47.50	
01/07/2024 13.32.57	3802674777.21	4985205.00	1	48.78	
01/07/2024 13.33.01	3802674781.31	4985205.00	1	49.73	
01/07/2024 13.33.05	3802674785.41	4985205.00	1	49.26	
01/07/2024 13.33.09	3802674789.51	4985205.00	1	49.57	
01/07/2024 13.33.13	3802674793.61	4985205.00	1	50.53	
01/07/2024 13.33.17	3802674797.71	4985205.00	1	50.21	
01/07/2024 13.33.21	3802674801.81	4985205.00	1	49.57	
01/07/2024 13.33.25	3802674805.91	4985205.00	1	51.33	
01/07/2024 13.33.30	3802674810.01	4985205.00	1	51.01	
01/07/2024 13.33.34	3802674814.11	4985205.00	1	51.65	
01/07/2024 13.33.38	3802674818.21	4985200.00	1	51.17	
01/07/2024 13.33.42	3802674822.31	4985210.00	1	51.97	
01/07/2024 13.33.46	3802674826.41	4985210.00	1	51.01	
01/07/2024 13.33.50	3802674830.51	4985205.00	1	51.97	
01/07/2024 13.33.54	3802674834.61	4985205.00	1	52.13	
01/07/2024 13.33.58	3802674838.71	4985205.00	1	52.29	
01/07/2024 13.34.02	3802674842.81	4985205.00	1	52.93	
01/07/2024 13.34.06	3802674846.91	4985205.00	1	53.73	
01/07/2024 13.34.11	3802674851.01	4985205.00	1	53.41	
01/07/2024 13.34.15	3802674855.11	4985210.00	1	54.36	
01/07/2024 13.34.19	3802674859.21	4985205.00	1	54.52	
01/07/2024 13.34.23	3802674863.31	4985205.00	1	50.69	
01/07/2024 13.34.27	3802674867.41	4985210.00	1	53.89	
01/07/2024 13.34.31	3802674871.51	4985205.00	1	54.84	
01/07/2024 13.34.35	3802674875.61	4985205.00	1	62.32	
01/07/2024 13.34.39	3802674879.66	4985205.00	1	59.14	
01/07/2024 13.34.43	3802674883.76	4985205.00	1	55.16	
01/07/2024 13.34.47	3802674887.86	4985205.00	1	56.43	
